dataset,encoding,dim_reduction,model,accuracy
movies,lm__whaleloops/phrase-bert,PCA_10,GradientBoostingClassifier,0.52575
movies,lm__whaleloops/phrase-bert,PCA_10,GradientBoostingClassifier,0.527
movies,lm__whaleloops/phrase-bert,PCA_10,GradientBoostingClassifier,0.5155
movies,lm__whaleloops/phrase-bert,PCA_10,TabPFNClassifier,0.53025
movies,lm__whaleloops/phrase-bert,PCA_10,TabPFNClassifier,0.51175
movies,lm__whaleloops/phrase-bert,PCA_10,TabPFNClassifier,0.5435
movies,lm__whaleloops/phrase-bert,PCA_10,TabPFNClassifier,0.51375
movies,lm__whaleloops/phrase-bert,PCA_10,TabPFNClassifier,0.5425
movies,lm__whaleloops/phrase-bert,PCA_30,LogisticRegression,0.53525
movies,lm__whaleloops/phrase-bert,PCA_30,LogisticRegression,0.52975
movies,lm__whaleloops/phrase-bert,PCA_30,LogisticRegression,0.5355
movies,lm__whaleloops/phrase-bert,PCA_30,LogisticRegression,0.5335
movies,lm__whaleloops/phrase-bert,PCA_30,LogisticRegression,0.52775
movies,lm__whaleloops/phrase-bert,PCA_30,GradientBoostingClassifier,0.519
movies,lm__whaleloops/phrase-bert,PCA_30,GradientBoostingClassifier,0.53575
movies,lm__whaleloops/phrase-bert,PCA_30,GradientBoostingClassifier,0.5215
movies,lm__whaleloops/phrase-bert,PCA_30,GradientBoostingClassifier,0.502
movies,lm__whaleloops/phrase-bert,PCA_30,GradientBoostingClassifier,0.53025
movies,lm__whaleloops/phrase-bert,PCA_30,TabPFNClassifier,0.5425
movies,lm__whaleloops/phrase-bert,PCA_30,TabPFNClassifier,0.53825
movies,lm__whaleloops/phrase-bert,PCA_30,TabPFNClassifier,0.5395
movies,lm__whaleloops/phrase-bert,PCA_30,TabPFNClassifier,0.538
movies,lm__whaleloops/phrase-bert,PCA_30,TabPFNClassifier,0.51625
movies,lm__whaleloops/phrase-bert,subset_10,LogisticRegression,0.5295
movies,lm__whaleloops/phrase-bert,subset_10,LogisticRegression,0.51625
movies,lm__whaleloops/phrase-bert,subset_10,LogisticRegression,0.5195
movies,lm__whaleloops/phrase-bert,subset_10,LogisticRegression,0.5145
movies,lm__whaleloops/phrase-bert,subset_10,LogisticRegression,0.51975
movies,lm__whaleloops/phrase-bert,subset_10,GradientBoostingClassifier,0.508
movies,lm__whaleloops/phrase-bert,subset_10,GradientBoostingClassifier,0.539
movies,lm__whaleloops/phrase-bert,subset_10,GradientBoostingClassifier,0.52
movies,lm__whaleloops/phrase-bert,subset_10,GradientBoostingClassifier,0.523
movies,lm__whaleloops/phrase-bert,subset_10,GradientBoostingClassifier,0.522
movies,lm__whaleloops/phrase-bert,subset_10,TabPFNClassifier,0.50575
movies,lm__whaleloops/phrase-bert,subset_10,TabPFNClassifier,0.5025
movies,lm__whaleloops/phrase-bert,subset_10,TabPFNClassifier,0.502
movies,lm__whaleloops/phrase-bert,subset_10,TabPFNClassifier,0.50275
movies,lm__whaleloops/phrase-bert,subset_10,TabPFNClassifier,0.5175
movies,lm__whaleloops/phrase-bert,subset_30,LogisticRegression,0.53275
movies,lm__whaleloops/phrase-bert,subset_30,LogisticRegression,0.51325
movies,lm__whaleloops/phrase-bert,subset_30,LogisticRegression,0.5235
movies,lm__whaleloops/phrase-bert,subset_30,LogisticRegression,0.52225
movies,lm__whaleloops/phrase-bert,subset_30,LogisticRegression,0.52375
movies,lm__whaleloops/phrase-bert,subset_30,GradientBoostingClassifier,0.517
movies,lm__whaleloops/phrase-bert,subset_30,GradientBoostingClassifier,0.53925
movies,lm__whaleloops/phrase-bert,subset_30,GradientBoostingClassifier,0.51125
movies,lm__whaleloops/phrase-bert,subset_30,GradientBoostingClassifier,0.52675
movies,lm__whaleloops/phrase-bert,subset_30,GradientBoostingClassifier,0.533
movies,lm__whaleloops/phrase-bert,subset_30,TabPFNClassifier,0.533
movies,lm__whaleloops/phrase-bert,subset_30,TabPFNClassifier,0.5365
movies,lm__whaleloops/phrase-bert,subset_30,TabPFNClassifier,0.5295
movies,lm__whaleloops/phrase-bert,subset_30,TabPFNClassifier,0.50125
movies,lm__whaleloops/phrase-bert,subset_30,TabPFNClassifier,0.52
movies,lm__whaleloops/phrase-bert,subset_biggest_10,LogisticRegression,0.516
movies,lm__whaleloops/phrase-bert,subset_biggest_10,LogisticRegression,0.472
movies,lm__whaleloops/phrase-bert,subset_biggest_10,LogisticRegression,0.50275
movies,lm__whaleloops/phrase-bert,subset_biggest_10,LogisticRegression,0.5115
movies,lm__whaleloops/phrase-bert,subset_biggest_10,LogisticRegression,0.49125
movies,lm__whaleloops/phrase-bert,subset_biggest_10,GradientBoostingClassifier,0.502
movies,lm__whaleloops/phrase-bert,subset_biggest_10,GradientBoostingClassifier,0.50025
movies,lm__whaleloops/phrase-bert,subset_biggest_10,GradientBoostingClassifier,0.4995
movies,lm__whaleloops/phrase-bert,subset_biggest_10,GradientBoostingClassifier,0.5035
movies,lm__whaleloops/phrase-bert,subset_biggest_10,GradientBoostingClassifier,0.5075
movies,lm__whaleloops/phrase-bert,subset_biggest_10,TabPFNClassifier,0.50175
movies,lm__whaleloops/phrase-bert,subset_biggest_10,TabPFNClassifier,0.492
movies,lm__whaleloops/phrase-bert,subset_biggest_10,TabPFNClassifier,0.4945
movies,lm__whaleloops/phrase-bert,subset_biggest_10,TabPFNClassifier,0.48625
movies,lm__whaleloops/phrase-bert,subset_biggest_10,TabPFNClassifier,0.5065
movies,lm__whaleloops/phrase-bert,subset_biggest_30,LogisticRegression,0.50975
movies,lm__whaleloops/phrase-bert,subset_biggest_30,LogisticRegression,0.4955
movies,lm__whaleloops/phrase-bert,subset_biggest_30,LogisticRegression,0.4955
movies,lm__whaleloops/phrase-bert,subset_biggest_30,LogisticRegression,0.49975
movies,lm__whaleloops/phrase-bert,subset_biggest_30,LogisticRegression,0.50075
movies,lm__whaleloops/phrase-bert,subset_biggest_30,GradientBoostingClassifier,0.487
movies,lm__whaleloops/phrase-bert,subset_biggest_30,GradientBoostingClassifier,0.50075
movies,lm__whaleloops/phrase-bert,subset_biggest_30,GradientBoostingClassifier,0.48075
movies,lm__whaleloops/phrase-bert,subset_biggest_30,GradientBoostingClassifier,0.48925
movies,lm__whaleloops/phrase-bert,subset_biggest_30,GradientBoostingClassifier,0.48375
movies,lm__whaleloops/phrase-bert,subset_biggest_30,TabPFNClassifier,0.5015
movies,lm__whaleloops/phrase-bert,subset_biggest_30,TabPFNClassifier,0.488
movies,lm__whaleloops/phrase-bert,subset_biggest_30,TabPFNClassifier,0.4965
movies,lm__whaleloops/phrase-bert,subset_biggest_30,TabPFNClassifier,0.51875
movies,lm__whaleloops/phrase-bert,subset_biggest_30,TabPFNClassifier,0.48675
movies,lm__whaleloops/phrase-bert,passthrough,LogisticRegression,0.5395
movies,lm__whaleloops/phrase-bert,passthrough,LogisticRegression,0.52925
movies,lm__whaleloops/phrase-bert,passthrough,LogisticRegression,0.53425
movies,lm__whaleloops/phrase-bert,passthrough,LogisticRegression,0.5425
movies,lm__whaleloops/phrase-bert,passthrough,LogisticRegression,0.5335
michelin,skrub__minhash_10,passthrough,LogisticRegression,0.51075
michelin,skrub__minhash_10,passthrough,LogisticRegression,0.51475
michelin,skrub__minhash_10,passthrough,LogisticRegression,0.5105
michelin,skrub__minhash_10,passthrough,LogisticRegression,0.48375
michelin,skrub__minhash_10,passthrough,LogisticRegression,0.4935
michelin,skrub__minhash_30,passthrough,LogisticRegression,0.514
michelin,skrub__minhash_30,passthrough,LogisticRegression,0.51775
michelin,skrub__minhash_30,passthrough,LogisticRegression,0.52325
michelin,skrub__minhash_30,passthrough,LogisticRegression,0.50325
michelin,skrub__minhash_30,passthrough,LogisticRegression,0.50825
michelin,lm__all-MiniLM-L12-v2,PCA_10,LogisticRegression,0.58425
michelin,lm__all-MiniLM-L12-v2,PCA_10,LogisticRegression,0.5865
michelin,lm__all-MiniLM-L12-v2,PCA_10,LogisticRegression,0.58175
michelin,lm__all-MiniLM-L12-v2,PCA_10,LogisticRegression,0.58975
michelin,lm__all-MiniLM-L12-v2,PCA_10,LogisticRegression,0.57925
michelin,lm__all-MiniLM-L12-v2,PCA_10,GradientBoostingClassifier,0.56875
michelin,lm__all-MiniLM-L12-v2,PCA_10,GradientBoostingClassifier,0.565
michelin,lm__all-MiniLM-L12-v2,PCA_10,GradientBoostingClassifier,0.56925
michelin,lm__all-MiniLM-L12-v2,PCA_10,GradientBoostingClassifier,0.57125
michelin,lm__all-MiniLM-L12-v2,PCA_10,GradientBoostingClassifier,0.572
michelin,lm__all-MiniLM-L12-v2,PCA_10,TabPFNClassifier,0.575
michelin,lm__all-MiniLM-L12-v2,PCA_10,TabPFNClassifier,0.59275
michelin,lm__all-MiniLM-L12-v2,PCA_10,TabPFNClassifier,0.59275
michelin,lm__all-MiniLM-L12-v2,PCA_10,TabPFNClassifier,0.58325
michelin,lm__all-MiniLM-L12-v2,PCA_10,TabPFNClassifier,0.58675
michelin,lm__all-MiniLM-L12-v2,PCA_30,LogisticRegression,0.576
michelin,lm__all-MiniLM-L12-v2,PCA_30,LogisticRegression,0.57525
michelin,lm__all-MiniLM-L12-v2,PCA_30,LogisticRegression,0.5685
michelin,lm__all-MiniLM-L12-v2,PCA_30,LogisticRegression,0.57275
michelin,lm__all-MiniLM-L12-v2,PCA_30,LogisticRegression,0.5705
michelin,lm__all-MiniLM-L12-v2,PCA_30,GradientBoostingClassifier,0.57075
michelin,lm__all-MiniLM-L12-v2,PCA_30,GradientBoostingClassifier,0.57325
michelin,lm__all-MiniLM-L12-v2,PCA_30,GradientBoostingClassifier,0.57625
michelin,lm__all-MiniLM-L12-v2,PCA_30,GradientBoostingClassifier,0.552
michelin,lm__all-MiniLM-L12-v2,PCA_30,GradientBoostingClassifier,0.57525
michelin,lm__all-MiniLM-L12-v2,PCA_30,TabPFNClassifier,0.58425
michelin,lm__all-MiniLM-L12-v2,PCA_30,TabPFNClassifier,0.59975
michelin,lm__all-MiniLM-L12-v2,PCA_30,TabPFNClassifier,0.6015
michelin,lm__all-MiniLM-L12-v2,PCA_30,TabPFNClassifier,0.59575
michelin,lm__all-MiniLM-L12-v2,PCA_30,TabPFNClassifier,0.57725
michelin,lm__all-MiniLM-L12-v2,subset_10,LogisticRegression,0.51225
michelin,lm__all-MiniLM-L12-v2,subset_10,LogisticRegression,0.5165
michelin,lm__all-MiniLM-L12-v2,subset_10,LogisticRegression,0.533
michelin,lm__all-MiniLM-L12-v2,subset_10,LogisticRegression,0.5165
michelin,lm__all-MiniLM-L12-v2,subset_10,LogisticRegression,0.50025
michelin,lm__all-MiniLM-L12-v2,subset_10,GradientBoostingClassifier,0.5325
michelin,lm__all-MiniLM-L12-v2,subset_10,GradientBoostingClassifier,0.52075
michelin,lm__all-MiniLM-L12-v2,subset_10,GradientBoostingClassifier,0.524
michelin,lm__all-MiniLM-L12-v2,subset_10,GradientBoostingClassifier,0.52425
michelin,lm__all-MiniLM-L12-v2,subset_10,GradientBoostingClassifier,0.51375
michelin,lm__all-MiniLM-L12-v2,subset_10,TabPFNClassifier,0.50925
michelin,lm__all-MiniLM-L12-v2,subset_10,TabPFNClassifier,0.5215
michelin,lm__all-MiniLM-L12-v2,subset_10,TabPFNClassifier,0.524
michelin,lm__all-MiniLM-L12-v2,subset_10,TabPFNClassifier,0.5375
michelin,lm__all-MiniLM-L12-v2,subset_10,TabPFNClassifier,0.48075
michelin,lm__all-MiniLM-L12-v2,subset_30,LogisticRegression,0.5515
michelin,lm__all-MiniLM-L12-v2,subset_30,LogisticRegression,0.5415
michelin,lm__all-MiniLM-L12-v2,subset_30,LogisticRegression,0.56075
michelin,lm__all-MiniLM-L12-v2,subset_30,LogisticRegression,0.5535
michelin,lm__all-MiniLM-L12-v2,subset_30,LogisticRegression,0.54725
michelin,lm__all-MiniLM-L12-v2,subset_30,GradientBoostingClassifier,0.55675
michelin,lm__all-MiniLM-L12-v2,subset_30,GradientBoostingClassifier,0.54725
michelin,lm__all-MiniLM-L12-v2,subset_30,GradientBoostingClassifier,0.537
michelin,lm__all-MiniLM-L12-v2,subset_30,GradientBoostingClassifier,0.54375
michelin,lm__all-MiniLM-L12-v2,subset_30,GradientBoostingClassifier,0.54675
michelin,lm__all-MiniLM-L12-v2,subset_30,TabPFNClassifier,0.5585
michelin,lm__all-MiniLM-L12-v2,subset_30,TabPFNClassifier,0.56525
michelin,lm__all-MiniLM-L12-v2,subset_30,TabPFNClassifier,0.55925
michelin,lm__all-MiniLM-L12-v2,subset_30,TabPFNClassifier,0.56425
michelin,lm__all-MiniLM-L12-v2,subset_30,TabPFNClassifier,0.57175
michelin,lm__all-MiniLM-L12-v2,subset_biggest_10,LogisticRegression,0.55375
michelin,lm__all-MiniLM-L12-v2,subset_biggest_10,LogisticRegression,0.53625
michelin,lm__all-MiniLM-L12-v2,subset_biggest_10,LogisticRegression,0.55625
michelin,lm__all-MiniLM-L12-v2,subset_biggest_10,LogisticRegression,0.5535
michelin,lm__all-MiniLM-L12-v2,subset_biggest_10,LogisticRegression,0.5545
michelin,lm__all-MiniLM-L12-v2,subset_biggest_10,GradientBoostingClassifier,0.5225
michelin,lm__all-MiniLM-L12-v2,subset_biggest_10,GradientBoostingClassifier,0.563
michelin,lm__all-MiniLM-L12-v2,subset_biggest_10,GradientBoostingClassifier,0.52075
michelin,lm__all-MiniLM-L12-v2,subset_biggest_10,GradientBoostingClassifier,0.557
michelin,lm__all-MiniLM-L12-v2,subset_biggest_10,GradientBoostingClassifier,0.52425
michelin,lm__all-MiniLM-L12-v2,subset_biggest_10,TabPFNClassifier,0.539
michelin,lm__all-MiniLM-L12-v2,subset_biggest_10,TabPFNClassifier,0.562
michelin,lm__all-MiniLM-L12-v2,subset_biggest_10,TabPFNClassifier,0.516
michelin,lm__all-MiniLM-L12-v2,subset_biggest_10,TabPFNClassifier,0.562
michelin,lm__all-MiniLM-L12-v2,subset_biggest_10,TabPFNClassifier,0.55325
michelin,lm__all-MiniLM-L12-v2,subset_biggest_30,LogisticRegression,0.5245
michelin,lm__all-MiniLM-L12-v2,subset_biggest_30,LogisticRegression,0.55025
michelin,lm__all-MiniLM-L12-v2,subset_biggest_30,LogisticRegression,0.51875
michelin,lm__all-MiniLM-L12-v2,subset_biggest_30,LogisticRegression,0.548
michelin,lm__all-MiniLM-L12-v2,subset_biggest_30,LogisticRegression,0.47625
michelin,lm__all-MiniLM-L12-v2,subset_biggest_30,GradientBoostingClassifier,0.5165
michelin,lm__all-MiniLM-L12-v2,subset_biggest_30,GradientBoostingClassifier,0.5225
michelin,lm__all-MiniLM-L12-v2,subset_biggest_30,GradientBoostingClassifier,0.54125
michelin,lm__all-MiniLM-L12-v2,subset_biggest_30,GradientBoostingClassifier,0.4905
michelin,lm__all-MiniLM-L12-v2,subset_biggest_30,GradientBoostingClassifier,0.5205
michelin,lm__all-MiniLM-L12-v2,subset_biggest_30,TabPFNClassifier,0.50925
michelin,lm__all-MiniLM-L12-v2,subset_biggest_30,TabPFNClassifier,0.4945
michelin,lm__all-MiniLM-L12-v2,subset_biggest_30,TabPFNClassifier,0.5335
michelin,lm__all-MiniLM-L12-v2,subset_biggest_30,TabPFNClassifier,0.541
michelin,lm__all-MiniLM-L12-v2,subset_biggest_30,TabPFNClassifier,0.55525
michelin,lm__all-MiniLM-L12-v2,passthrough,LogisticRegression,0.60175
michelin,lm__all-MiniLM-L12-v2,passthrough,LogisticRegression,0.5905
michelin,lm__all-MiniLM-L12-v2,passthrough,LogisticRegression,0.60275
michelin,lm__all-MiniLM-L12-v2,passthrough,LogisticRegression,0.595
michelin,lm__all-MiniLM-L12-v2,passthrough,LogisticRegression,0.59875
michelin,lm__whaleloops/phrase-bert,PCA_10,LogisticRegression,0.60975
michelin,lm__whaleloops/phrase-bert,PCA_10,LogisticRegression,0.587
michelin,lm__whaleloops/phrase-bert,PCA_10,LogisticRegression,0.589
michelin,lm__whaleloops/phrase-bert,PCA_10,LogisticRegression,0.59975
michelin,lm__whaleloops/phrase-bert,PCA_10,LogisticRegression,0.59975
michelin,lm__whaleloops/phrase-bert,PCA_10,GradientBoostingClassifier,0.58825
michelin,lm__whaleloops/phrase-bert,PCA_10,GradientBoostingClassifier,0.59625
michelin,lm__whaleloops/phrase-bert,PCA_10,GradientBoostingClassifier,0.58175
michelin,lm__whaleloops/phrase-bert,PCA_10,GradientBoostingClassifier,0.59175
michelin,lm__whaleloops/phrase-bert,PCA_10,GradientBoostingClassifier,0.58925
michelin,lm__whaleloops/phrase-bert,PCA_10,TabPFNClassifier,0.60275
michelin,lm__whaleloops/phrase-bert,PCA_10,TabPFNClassifier,0.61
michelin,lm__whaleloops/phrase-bert,PCA_10,TabPFNClassifier,0.60225
michelin,lm__whaleloops/phrase-bert,PCA_10,TabPFNClassifier,0.59925
michelin,lm__whaleloops/phrase-bert,PCA_10,TabPFNClassifier,0.604
michelin,lm__whaleloops/phrase-bert,PCA_30,LogisticRegression,0.5935
michelin,lm__whaleloops/phrase-bert,PCA_30,LogisticRegression,0.58175
michelin,lm__whaleloops/phrase-bert,PCA_30,LogisticRegression,0.59125
michelin,lm__whaleloops/phrase-bert,PCA_30,LogisticRegression,0.5995
michelin,lm__whaleloops/phrase-bert,PCA_30,LogisticRegression,0.589
michelin,lm__whaleloops/phrase-bert,PCA_30,GradientBoostingClassifier,0.59875
michelin,lm__whaleloops/phrase-bert,PCA_30,GradientBoostingClassifier,0.57725
michelin,lm__whaleloops/phrase-bert,PCA_30,GradientBoostingClassifier,0.581
michelin,lm__whaleloops/phrase-bert,PCA_30,GradientBoostingClassifier,0.596
michelin,lm__whaleloops/phrase-bert,PCA_30,GradientBoostingClassifier,0.5965
michelin,lm__whaleloops/phrase-bert,PCA_30,TabPFNClassifier,0.6065
michelin,lm__whaleloops/phrase-bert,PCA_30,TabPFNClassifier,0.60825
michelin,lm__whaleloops/phrase-bert,PCA_30,TabPFNClassifier,0.60475
michelin,lm__whaleloops/phrase-bert,PCA_30,TabPFNClassifier,0.60675
michelin,lm__whaleloops/phrase-bert,PCA_30,TabPFNClassifier,0.5975
michelin,lm__whaleloops/phrase-bert,subset_10,LogisticRegression,0.5625
michelin,lm__whaleloops/phrase-bert,subset_10,LogisticRegression,0.56525
michelin,lm__whaleloops/phrase-bert,subset_10,LogisticRegression,0.56725
michelin,lm__whaleloops/phrase-bert,subset_10,LogisticRegression,0.564
michelin,lm__whaleloops/phrase-bert,subset_10,LogisticRegression,0.5575
michelin,lm__whaleloops/phrase-bert,subset_10,GradientBoostingClassifier,0.56125
michelin,lm__whaleloops/phrase-bert,subset_10,GradientBoostingClassifier,0.5485
michelin,lm__whaleloops/phrase-bert,subset_10,GradientBoostingClassifier,0.56075
michelin,lm__whaleloops/phrase-bert,subset_10,GradientBoostingClassifier,0.55225
michelin,lm__whaleloops/phrase-bert,subset_10,GradientBoostingClassifier,0.552
michelin,lm__whaleloops/phrase-bert,subset_10,TabPFNClassifier,0.574
michelin,lm__whaleloops/phrase-bert,subset_10,TabPFNClassifier,0.57175
michelin,lm__whaleloops/phrase-bert,subset_10,TabPFNClassifier,0.578
michelin,lm__whaleloops/phrase-bert,subset_10,TabPFNClassifier,0.5845
michelin,lm__whaleloops/phrase-bert,subset_10,TabPFNClassifier,0.56875
michelin,lm__whaleloops/phrase-bert,subset_30,LogisticRegression,0.57675
michelin,lm__whaleloops/phrase-bert,subset_30,LogisticRegression,0.57975
michelin,lm__whaleloops/phrase-bert,subset_30,LogisticRegression,0.574
michelin,lm__whaleloops/phrase-bert,subset_30,LogisticRegression,0.56975
michelin,lm__whaleloops/phrase-bert,subset_30,LogisticRegression,0.56725
michelin,lm__whaleloops/phrase-bert,subset_30,GradientBoostingClassifier,0.57525
michelin,lm__whaleloops/phrase-bert,subset_30,GradientBoostingClassifier,0.57175
michelin,lm__whaleloops/phrase-bert,subset_30,GradientBoostingClassifier,0.575
michelin,lm__whaleloops/phrase-bert,subset_30,GradientBoostingClassifier,0.5725
michelin,lm__whaleloops/phrase-bert,subset_30,GradientBoostingClassifier,0.5755
michelin,lm__whaleloops/phrase-bert,subset_30,TabPFNClassifier,0.589
michelin,lm__whaleloops/phrase-bert,subset_30,TabPFNClassifier,0.601
michelin,lm__whaleloops/phrase-bert,subset_30,TabPFNClassifier,0.579
michelin,lm__whaleloops/phrase-bert,subset_30,TabPFNClassifier,0.5905
michelin,lm__whaleloops/phrase-bert,subset_30,TabPFNClassifier,0.59325
michelin,lm__whaleloops/phrase-bert,subset_biggest_10,LogisticRegression,0.4905
michelin,lm__whaleloops/phrase-bert,subset_biggest_10,LogisticRegression,0.49625
michelin,lm__whaleloops/phrase-bert,subset_biggest_10,LogisticRegression,0.499
michelin,lm__whaleloops/phrase-bert,subset_biggest_10,LogisticRegression,0.497
michelin,lm__whaleloops/phrase-bert,subset_biggest_10,LogisticRegression,0.53975
michelin,lm__whaleloops/phrase-bert,subset_biggest_10,GradientBoostingClassifier,0.50975
michelin,lm__whaleloops/phrase-bert,subset_biggest_10,GradientBoostingClassifier,0.4895
michelin,lm__whaleloops/phrase-bert,subset_biggest_10,GradientBoostingClassifier,0.50675
michelin,lm__whaleloops/phrase-bert,subset_biggest_10,GradientBoostingClassifier,0.515
michelin,lm__whaleloops/phrase-bert,subset_biggest_10,GradientBoostingClassifier,0.517
michelin,lm__whaleloops/phrase-bert,subset_biggest_10,TabPFNClassifier,0.501
michelin,lm__whaleloops/phrase-bert,subset_biggest_10,TabPFNClassifier,0.4975
michelin,lm__whaleloops/phrase-bert,subset_biggest_10,TabPFNClassifier,0.54225
michelin,lm__whaleloops/phrase-bert,subset_biggest_10,TabPFNClassifier,0.497
michelin,lm__whaleloops/phrase-bert,subset_biggest_10,TabPFNClassifier,0.49425
michelin,lm__whaleloops/phrase-bert,subset_biggest_30,LogisticRegression,0.5085
michelin,lm__whaleloops/phrase-bert,subset_biggest_30,LogisticRegression,0.53525
michelin,lm__whaleloops/phrase-bert,subset_biggest_30,LogisticRegression,0.5
michelin,lm__whaleloops/phrase-bert,subset_biggest_30,LogisticRegression,0.49525
michelin,lm__whaleloops/phrase-bert,subset_biggest_30,LogisticRegression,0.50875
michelin,lm__whaleloops/phrase-bert,subset_biggest_30,GradientBoostingClassifier,0.49425
michelin,lm__whaleloops/phrase-bert,subset_biggest_30,GradientBoostingClassifier,0.49725
michelin,lm__whaleloops/phrase-bert,subset_biggest_30,GradientBoostingClassifier,0.5155
michelin,lm__whaleloops/phrase-bert,subset_biggest_30,GradientBoostingClassifier,0.51
michelin,lm__whaleloops/phrase-bert,subset_biggest_30,GradientBoostingClassifier,0.457
michelin,lm__whaleloops/phrase-bert,subset_biggest_30,TabPFNClassifier,0.47225
michelin,lm__whaleloops/phrase-bert,subset_biggest_30,TabPFNClassifier,0.49975
michelin,lm__whaleloops/phrase-bert,subset_biggest_30,TabPFNClassifier,0.50375
michelin,lm__whaleloops/phrase-bert,subset_biggest_30,TabPFNClassifier,0.516
michelin,lm__whaleloops/phrase-bert,subset_biggest_30,TabPFNClassifier,0.51225
michelin,lm__whaleloops/phrase-bert,passthrough,LogisticRegression,0.608
michelin,lm__whaleloops/phrase-bert,passthrough,LogisticRegression,0.59625
michelin,lm__whaleloops/phrase-bert,passthrough,LogisticRegression,0.6075
michelin,lm__whaleloops/phrase-bert,passthrough,LogisticRegression,0.594
michelin,lm__whaleloops/phrase-bert,passthrough,LogisticRegression,0.5835
spotify,skrub__minhash_10,passthrough,LogisticRegression,0.538
spotify,skrub__minhash_10,passthrough,LogisticRegression,0.531
spotify,skrub__minhash_10,passthrough,LogisticRegression,0.54225
spotify,skrub__minhash_10,passthrough,LogisticRegression,0.54275
spotify,skrub__minhash_10,passthrough,LogisticRegression,0.54425
spotify,skrub__minhash_30,passthrough,LogisticRegression,0.553
spotify,skrub__minhash_30,passthrough,LogisticRegression,0.55175
spotify,skrub__minhash_30,passthrough,LogisticRegression,0.56075
spotify,skrub__minhash_30,passthrough,LogisticRegression,0.5315
spotify,skrub__minhash_30,passthrough,LogisticRegression,0.546
spotify,lm__all-MiniLM-L12-v2,PCA_10,LogisticRegression,0.74325
spotify,lm__all-MiniLM-L12-v2,PCA_10,LogisticRegression,0.73575
spotify,lm__all-MiniLM-L12-v2,PCA_10,LogisticRegression,0.75275
spotify,lm__all-MiniLM-L12-v2,PCA_10,LogisticRegression,0.748
spotify,lm__all-MiniLM-L12-v2,PCA_10,LogisticRegression,0.7475
spotify,lm__all-MiniLM-L12-v2,PCA_10,GradientBoostingClassifier,0.75325
spotify,lm__all-MiniLM-L12-v2,PCA_10,GradientBoostingClassifier,0.74725
spotify,lm__all-MiniLM-L12-v2,PCA_10,GradientBoostingClassifier,0.74125
spotify,lm__all-MiniLM-L12-v2,PCA_10,GradientBoostingClassifier,0.752
spotify,lm__all-MiniLM-L12-v2,PCA_10,GradientBoostingClassifier,0.72175
spotify,lm__all-MiniLM-L12-v2,PCA_10,TabPFNClassifier,0.753
spotify,lm__all-MiniLM-L12-v2,PCA_10,TabPFNClassifier,0.73875
spotify,lm__all-MiniLM-L12-v2,PCA_10,TabPFNClassifier,0.76
spotify,lm__all-MiniLM-L12-v2,PCA_10,TabPFNClassifier,0.755
spotify,lm__all-MiniLM-L12-v2,PCA_10,TabPFNClassifier,0.74075
spotify,lm__all-MiniLM-L12-v2,PCA_30,LogisticRegression,0.75875
spotify,lm__all-MiniLM-L12-v2,PCA_30,LogisticRegression,0.75025
spotify,lm__all-MiniLM-L12-v2,PCA_30,LogisticRegression,0.73925
spotify,lm__all-MiniLM-L12-v2,PCA_30,LogisticRegression,0.74725
spotify,lm__all-MiniLM-L12-v2,PCA_30,LogisticRegression,0.759
spotify,lm__all-MiniLM-L12-v2,PCA_30,GradientBoostingClassifier,0.736
spotify,lm__all-MiniLM-L12-v2,PCA_30,GradientBoostingClassifier,0.73325
spotify,lm__all-MiniLM-L12-v2,PCA_30,GradientBoostingClassifier,0.74225
spotify,lm__all-MiniLM-L12-v2,PCA_30,GradientBoostingClassifier,0.74575
spotify,lm__all-MiniLM-L12-v2,PCA_30,GradientBoostingClassifier,0.736
spotify,lm__all-MiniLM-L12-v2,PCA_30,TabPFNClassifier,0.76075
spotify,lm__all-MiniLM-L12-v2,PCA_30,TabPFNClassifier,0.7535
spotify,lm__all-MiniLM-L12-v2,PCA_30,TabPFNClassifier,0.748
spotify,lm__all-MiniLM-L12-v2,PCA_30,TabPFNClassifier,0.76575
spotify,lm__all-MiniLM-L12-v2,PCA_30,TabPFNClassifier,0.74725
spotify,lm__all-MiniLM-L12-v2,subset_10,LogisticRegression,0.6235
spotify,lm__all-MiniLM-L12-v2,subset_10,LogisticRegression,0.6155
spotify,lm__all-MiniLM-L12-v2,subset_10,LogisticRegression,0.63025
spotify,lm__all-MiniLM-L12-v2,subset_10,LogisticRegression,0.63325
spotify,lm__all-MiniLM-L12-v2,subset_10,LogisticRegression,0.6255
spotify,lm__all-MiniLM-L12-v2,subset_10,GradientBoostingClassifier,0.623
spotify,lm__all-MiniLM-L12-v2,subset_10,GradientBoostingClassifier,0.6245
spotify,lm__all-MiniLM-L12-v2,subset_10,GradientBoostingClassifier,0.59825
spotify,lm__all-MiniLM-L12-v2,subset_10,GradientBoostingClassifier,0.617
spotify,lm__all-MiniLM-L12-v2,subset_10,GradientBoostingClassifier,0.6085
spotify,lm__all-MiniLM-L12-v2,subset_10,TabPFNClassifier,0.62925
spotify,lm__all-MiniLM-L12-v2,subset_10,TabPFNClassifier,0.63825
spotify,lm__all-MiniLM-L12-v2,subset_10,TabPFNClassifier,0.63125
spotify,lm__all-MiniLM-L12-v2,subset_10,TabPFNClassifier,0.62625
spotify,lm__all-MiniLM-L12-v2,subset_10,TabPFNClassifier,0.628
